Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
581437,,05 WESTERN NEW YORK,PMI - RT 62; RT 324 - GREEN ACRES,PMI - RT 62; RT 324 - GREEN ACRES RD; TOWNS OF AMHERST & TONAWANDA; ERIE CO,Future Development,Winter 2018/2019,Fall 2021,Winter 2021/2022,Spring 2022,2400000,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will mill and resurface US Route 62, Niagara Falls Boulevard from NY Route 324, Sheridan Drive to Green Acres Road in the Towns of Amherst and Tonawanda, Erie County. Deteriorated drainage structures, non-compliant ADA curb ramps, corridor si",,,,,,,
593665,,05 WESTERN NEW YORK,PROSPECT ST/FRR,PROSPECT ST/FRR; CITY OF LOCKPORT; NIAGARA CO; DOT/AAR#520-802K MP 57.35,Future Development,,Fall 2019,Fall 2019,,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,"This project will upgrade the circuitry, active warning devices, and pavement surface at the Prospect Street/FRR crossing in the City of Lockport, Niagara County.",,,,,,,
50PS04,,05 WESTERN NEW YORK,PSAP - PHASE IIB; CATTARAUGUS & CHAUTAUQUA COS,"Pedestrian Safety Action Plan (PSAP), Phase IIB.  Project will implement countermeasures that improve pedestrian safety in urban areas throughout Cattaraugus and Chautauqua Counties",Future Development,Spring 2017,Fall 2019,Winter 2019/2020,Spring 2020,3500000,Yes,No,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).",This project will make improvements to pedestrian facilities at uncontrolled crosswalks and signalized intersections in urban areas throughout Cattaraugus and Chautauqua Counties. This effort is part of the New York State Pedestrian Safety Action Plan (PS,,,,,,,
513139,,05 WESTERN NEW YORK,RT 277 (UNION RD) @ RT 33 RAMPS,RT 277 (UNION RD) @ RT 33 RAMPS; Town of Cheektowaga; Erie Co,Future Development,Spring 2019,Spring 2021,Spring 2021,Fall 2021,260000,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will replace traffic signals on NY Route 277, Union Road at the NY Route 33 ramps in the Town of Cheektowaga, Erie County to accommodate overhead signage and accessible pedestrian signals.",,,,,,,
530838,,05 WESTERN NEW YORK,"RT 62/950K, NIAGARA FALLS BLVD PED SAFETY IMPROVEMENTS","RT 62/950K, NIAGARA FALLS BLVD  PEDESTRIAN SAFETY IMPROVEMENTS (KENMORE - ERIE CO LINE); ERIE COUNTY",Future Development,Fall 2018,Spring 2020,Spring 2020,,2200000,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).",This project will provide safety and mobility improvements for pedestrians on Niagara Falls Boulevard (US Route 62/Ref. Route 950K) from Kenmore Avenue to the Niagara County Line in the Towns of Amherst and Tonawanda in Erie County.,,,,,,,
581292,,05 WESTERN NEW YORK,SAFETY ENHANCEMENTS FOR ITS INFRASTRUCTURE SFY 19/20,SAFETY ENHANCEMENTS FOR ITS INFRASTRUCTURE SFY 19/20,Future Development,Spring 2018,Winter 2019/2020,Winter 2019/2020,Summer 2020,500000,Yes,Yes,No,"This project involves various technologies to assist in managing traffic to improve flow, safety, and air quality.","This project will make electrical improvements at various intelligent transportation system (ITS) sites within the Route 33, Route 198, I-290, and I-990 corridors in Erie County as needed. Work will include bringing existing power up to current electrical",,,,,,,
581423,,05 WESTERN NEW YORK,SIDEWALK PROGRAM; SFY 20/21,"SIDEWALK PROGRAM; SFY 20/21; Various Locations; Cattaraugus, Chautauqua, Erie, and Niagara Cos",Future Development,,Spring 2020,Summer 2020,,,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project will install sidewalks to fill gaps in the regional sidewalk network at various locations in Cattaraugus, Chautauqua, Erie, and Niagara Counties during SFY 20/21.",,,,,,,
581424,,05 WESTERN NEW YORK,SIDEWALK PROGRAM; SFY 21/22,"SIDEWALK PROGRAM; SFY 21/22; Various Locations; Cattaraugus, Chautauqua, Erie, and Niagara Cos",Future Development,,Spring 2021,Summer 2021,,,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project will install sidewalks to fill gaps in the regional sidewalk network at various locations in Cattaraugus, Chautauqua, Erie, and Niagara Counties during SFY 21/22.",,,,,,,
581425,,05 WESTERN NEW YORK,SIDEWALK PROGRAM; SFY 22/23,"SIDEWALK PROGRAM; SFY 22/23; Various Locations; Cattaraugus, Chautauqua, Erie, and Niagara Cos",Future Development,,Spring 2022,Summer 2022,,,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project will install sidewalks to fill gaps in the regional sidewalk network at various locations in Cattaraugus, Chautauqua, Erie, and Niagara Counties during SFY 22/23.",,,,,,,
581426,,05 WESTERN NEW YORK,SIDEWALK PROGRAM; SFY 23/24,"SIDEWALK PROGRAM; SFY 23/24; Various Locations; Cattaraugus, Chautauqua, Erie, and Niagara Cos",Future Development,,Spring 2023,Summer 2023,,,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project will install sidewalks to fill gaps in the regional sidewalk network at various locations in Cattaraugus, Chautauqua, Erie, and Niagara Counties during SFY 23/24.",,,,,,,
581427,,05 WESTERN NEW YORK,SIDEWALK PROGRAM; SFY 24/25,"SIDEWALK PROGRAM; SFY 24/25; Various Locations; Cattaraugus, Chautauqua, Erie, and Niagara Cos",Future Development,,Spring 2024,Summer 2024,,,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project will install sidewalks to fill gaps in the regional sidewalk network at various locations in Cattaraugus, Chautauqua, Erie, and Niagara Counties during SFY 24/25.",,,,,,,
581274,,05 WESTERN NEW YORK,"SIGNAL REPLACEMENT, SFY 21/22","SIGNAL REPLACEMENT, SFY 21/22; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE & NIAGARA COUNTIES",Future Development,,Fall 2021,Winter 2021/2022,Fall 2022,1000000,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will include traffic signal equipment installation & improvements at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581430,,05 WESTERN NEW YORK,"SIGNAL REPLACEMENT, SFY 23/24","SIGNAL REPLACEMENT, SFY 23/24; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE & NIAGARA COUNTIES",Future Development,,Fall 2023,Winter 2023/2024,Spring 2024,2400000,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will include traffic signal equipment installation & improvements at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581096,,05 WESTERN NEW YORK,"SIGNAL REQUIREMENTS, SFY 20/21","SIGNAL REQUIREMENTS, SFY 20/21; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE & NIAGARA COUNTIES",Future Development,,Summer 2020,Fall 2020,Winter 2020/2021,1800000,No,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will include traffic signal equipment installation & improvements at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581368,,05 WESTERN NEW YORK,SIGNAL REQUIREMENTS; SFY 22/23,"SIGNAL REQUIREMENTS; SFY 22/23; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE, & NIAGARA COS",Future Development,,Summer 2022,Fall 2022,Winter 2022/2023,2100000,No,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will include traffic signal equipment installation & improvements at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581401,,05 WESTERN NEW YORK,SIGNAL REQUIREMENTS; SFY 24/25,"SIGNAL REQUIREMENTS; SFY 24/25; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE, & NIAGARA COS",Future Development,,Summer 2024,Fall 2024,Winter 2024/2025,2200000,No,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will include traffic signal equipment installation & improvements at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581409,,05 WESTERN NEW YORK,SIGNS & SIGN PANELS; SFY 22/23,"SIGNS & SIGN PANELS; SFY 22/23; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE, & NIAGARA COS",Future Development,,Spring 2022,Summer 2022,Fall 2022,700000,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,"This project will replace signs that are damaged, have fallen down, have no reflectivity for nighttime visibility, and/or will correct safety/operational    issues as needed at locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581410,,05 WESTERN NEW YORK,SIGNS & SIGN PANELS; SFY 23/24,"SIGNS & SIGN PANELS; SFY 23/24; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE, & NIAGARA COS",Future Development,,Spring 2023,Summer 2023,Fall 2023,800000,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,"This project will replace signs that are damaged, have fallen down, have no reflectivity for nighttime visibility, and/or will correct safety/operational    issues as needed at locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581411,,05 WESTERN NEW YORK,SIGNS & SIGN PANELS; SFY 24/25,"SIGNS & SIGN PANELS; SFY 24/25; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE, & NIAGARA COS",Future Development,,Spring 2024,Summer 2024,Fall 2024,800000,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,"This project will replace signs that are damaged, have fallen down, have no reflectivity for nighttime visibility, and/or will correct safety/operational issues as needed at locations in Cattaraugus,    Chautauqua, Erie & Niagara Counties.",,,,,,,
581276,,05 WESTERN NEW YORK,SMALL CULVERT MAINTENANCE; SFY 21/22,"Small Culvert Maintenance; SFY 21/22; Various Locations; NY 242, NY 83, NY 240, NY 104, & NY 270; Towns of Little Valley, Mansfield, Ellington, Villenova, Colden, Aurora, Lewiston, Lockport, & Cambria; Cattaraugus, Chautauqua, Erie, & Niagara Cos",Future Development,Spring 2019,Fall 2021,Winter 2021/2022,Fall 2022,1500000,Yes,Yes,No,This project involves maintenance of drainage along bridges and roads.,"This project will provide funding for small culvert maintenance at various locations in the Towns of Little Valley, Mansfield, Ellington, Villenova, Colden, Aurora, Lewiston, Lockport, and Cambria in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581370,,05 WESTERN NEW YORK,SMALL CULVERT MAINTENANCE; SFY 22/23,Small Culvert Maintenance; SFY 22/23;,Future Development,,Spring 2022,Summer 2022,Spring 2023,1100000,Yes,Yes,No,This project involves maintenance of drainage along bridges and roads.,"This project will provide funding small culvert maintenance at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties in SFY 22/23.",,,,,,,
581394,,05 WESTERN NEW YORK,SMALL CULVERT MAINTENANCE; SFY 23/24,Small Culvert Maintenance; SFY 23/24,Future Development,,Spring 2023,Summer 2023,Spring 2024,1100000,Yes,Yes,No,This project involves maintenance of drainage along bridges and roads.,"This project will provide funding small culvert maintenance at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties in SFY 23/24.",,,,,,,
581395,,05 WESTERN NEW YORK,SMALL CULVERT MAINTENANCE; SFY 24/25,Small Culvert Maintenance; SFY 24/25,Future Development,,Spring 2024,Summer 2024,Spring 2025,1100000,Yes,Yes,No,This project involves maintenance of drainage along bridges and roads.,"This project will provide funding small culvert maintenance at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties in SFY 24/25.",,,,,,,
581316,,05 WESTERN NEW YORK,STANDBY CONTRACT; SFY 20/21- 21/22,STANDBY CONTRACT; SFY 20/21-21/22,Future Development,,Fall 2020,Winter 2020/2021,Spring 2021,2000000,No,Yes,No,This project involves emergency highway and bridge repairs.,"This is a stand-by contract for corrective highway and bridge maintenance at various locations in Erie, Niagara, Cattaraugus, and Chautauqua Counties in SFY 20/21-21/22.",,,,,,,
581414,,05 WESTERN NEW YORK,STANDBY CONTRACT; SFY 22/23 - 23/24,"STANDBY CONTRACT; SFY 22/23 - 23/24; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE, AND NIAGARA COS",Future Development,,Fall 2022,Winter 2022/2023,Spring 2023,2100000,No,Yes,No,This project involves emergency highway and bridge repairs.,"This is a stand-by contract for corrective highway and bridge maintenance at various locations in Erie, Niagara, Cattaraugus, and Chautauqua Counties in SFY 22/23-23/24.",,,,,,,
581415,,05 WESTERN NEW YORK,STANDBY CONTRACT; SFY 24/25 - 25/26,"STANDBY CONTRACT; SFY 24/25 - 25/26; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE, AND NIAGARA COS",Future Development,,Fall 2024,Winter 2024/2025,Spring 2025,2200000,No,Yes,No,This project involves emergency highway and bridge repairs.,"This is a stand-by contract for corrective highway and bridge maintenance at various locations in Erie, Niagara, Cattaraugus, and Chautauqua Counties in SFY 24/25-25/26.",,,,,,,
581416,,05 WESTERN NEW YORK,STORM WATER PUMPHOUSE MAINT & SPEDES INSP; SFY 20/21,"STORM WATER PUMPHOUSE MAINT & SPEDES INSP; SFY 20/21; Various Locations; Cattaraugus, Chautauqua, Erie, and Niagara Cos",Future Development,,Spring 2021,Summer 2021,Fall 2021,210000,No,Yes,No,This project involves maintenance of drainage along bridges and roads.,"This project will provide funding to address storm water pumphouse maintenance and SPEDES inspection at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties in SFY 20/21.",,,,,,,
581417,,05 WESTERN NEW YORK,STORM WATER PUMPHOUSE MAINT & SPEDES INSP; SFY 23/24,"STORM WATER PUMPHOUSE MAINT & SPEDES INSP; SFY 23/24; Various Locations; Cattaraugus, Chautauqua, Erie, and Niagara Cos",Future Development,,Spring 2024,Summer 2024,Fall 2024,220000,No,Yes,No,This project involves maintenance of drainage along bridges and roads.,"This project will provide funding to address storm water pumphouse maintenance and SPEDES inspection at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties in SFY 23/24.",,,,,,,
5V1918,,05 WESTERN NEW YORK,VPP - HW - NY 16; OLEAN NCL - NY 446,VPP - HW - NY 16; OLEAN NCL - NY 446; Towns of Olean & Hinsdale; Cattaraugus Co,Future Development,,Spring 2019,Summer 2019,Summer 2019,1500000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate NY Route 16 from the Olean North City Line to NY Route 446, in the Towns of Olean and Hinsdale, Cattaraugus County with a 1"" single course overlay for the existing pavement.",,,,,,,
5V1943,,05 WESTERN NEW YORK,VPP - HW - NY 179 (MILESTRIP RD); NY 5 - ABBOTT RD,VPP - HW - NY 179 (MILESTRIP RD); NY 5 - ABBOTT RD; TOWN OF HAMBURG; ERIE CO,Future Development,,Spring 2019,Summer 2019,Summer 2019,1200000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate NY Route 179 (Milestrip Road) from NY Route 5 (Lake Shore Rd) to Abbott Road in the Town of Hamburg, Erie County with a single course overlay of the existing pavement.",,,,,,,
5V1942,,05 WESTERN NEW YORK,VPP - HW - NY 240; HOLLAND GLENNWOOD RD - BOSTON COLDEN RD,VPP - HW - NY 240; HOLLAND GLENNWOOD RD - BOSTON COLDEN RD; TOWN OF COLDEN; ERIE CO,Future Development,,Spring 2019,Summer 2019,Summer 2019,300000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate NY Route 240 from Holland Glennwood Road to Boston Colden Road in the Town of Colden, Erie County with a single course overlay of the existing pavement.",,,,,,,
5V1917,,05 WESTERN NEW YORK,VPP - HW - NY 242; LOWER EDGAR - BIN 1042720,VPP - HW - NY 242; LOWER EDGAR - BIN 1042720; Towns of Napoli & Little Valley; Cattaraugus Co,Future Development,,Spring 2019,Summer 2019,Spring 2019,800000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate NY Route 242, from Lower Edgar Road to BIN 1042720, in the Towns of Napoli and Little Valley in Cattaraugus County with a 1.5"" mill and overlay for the existing pavement.",,,,,,,
5V1941,,05 WESTERN NEW YORK,VPP - HW - NY 39; MORTON CORNERS - US 219,VPP - HW - NY 39; MORTON CORNERS - US 219; TOWN OF CONCORD; ERIE CO,Future Development,,Spring 2019,Summer 2019,Summer 2019,1000000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,This project will rehabilitate NY Route 39 from Morton Corners to Trevett Road with a single course overlay of the existing pavement and from Trevett Road to US Route 219 with a single course mill and overlay of the existing pavement in the Town of Concor,,,,,,,
5V1955,,05 WESTERN NEW YORK,VPP - HW - NY 425; UPPER MOUNTAIN - NY 93,VPP - HW - NY 425; UPPER MOUNTAIN - NY 93; Town of Cambria; Niagara Co,Future Development,,Spring 2019,Summer 2019,Spring 2019,900000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate NY Route 425, from Upper Mountain Road to NY Route 93, in the Town of Cambria, Niagara County with a 1.5"" single course mill and overlay of the existing pavment.",,,,,,,
5V1954,,05 WESTERN NEW YORK,VPP - HW - NY 429; NORTH TONAWANDA CL - LOCKPORT RD,VPP - HW - NY 429; NORTH TONAWANDA CL - LOCKPORT RD; Town of Wheatfield; Niagara Co,Future Development,,Spring 2019,Summer 2019,Spring 2019,600000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate NY Route 429 (Ward Road) from the North Tonawanda North City Line to Lockport Road in the Town of Wheatfield, Niagara County with a 1"" single course overlay of the existing pavement.",,,,,,,
5V1944,,05 WESTERN NEW YORK,VPP - HW - US 20; BIN 1015490 (CALIFORNIA RD) - NY 240,VPP - HW - US 20; BIN 1015490 (CALIFORNIA RD) - NY 240; TOWN OF ORCHARD PARK; ERIE CO,Future Development,,Spring 2019,Summer 2019,Summer 2019,700000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate US Route 20 (Southwestern Blvd) from the bridge over Smokes Creek (BIN 1015490) to NY Route 240 (Orchard Park Rd) in the Town of Orchard Park, Erie County with a single course overlay of the existing pavement.",,,,,,,
5V1934,,05 WESTERN NEW YORK,VPP - HW - US 20; BOWEN - TOWNLINE RD,US 20; BOWEN - TOWNLINE RD; Town of Elma; Erie Co,Future Development,,Spring 2019,Summer 2019,Summer 2019,1200000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will resurface the existing travel lanes and shoulders on US Route 20, from Bowen Road to Townline Road in the Town of Elma, Erie County.",,,,,,,
5V1923,,05 WESTERN NEW YORK,VPP - HW - US 20; NY 39 - BIN 1015420,VPP - HW - US 20; NY 39 - BIN 1015420 (bridge over Walnut Creek); Town of Sheridan & Village of Silver Creek; Chautauqua Co,Future Development,,Spring 2019,Summer 2019,Spring 2019,1600000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate US Route 20, from NY Route 39 to the NY Route 39 bridge over Walnut Creek in the Town of Sheridan and the Village of Silver Creek, Chautauqua County with a single course overlay of the existing pavement.",,,,,,,
5V1924,,05 WESTERN NEW YORK,VPP - HW - US 20; WESTFIELD - BROCTON,VPP - HW - US 20; WESTFIELD - BROCTON; Towns of Westfield & Portland & Village of Brocton; Chautauqua Co,Future Development,,Spring 2019,Summer 2019,Spring 2019,1100000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate US Route 20, from the Village of Westfield to the Village of Brocton in the Towns of Westfield and Portland and the Village of Brocton, Chautauqua County with a single course overlay of the existing pavement.",,,,,,,
5V1916,,05 WESTERN NEW YORK,VPP - HW - US 219; SALAMANCA NCL - NY 98,VPP - HW - US 219; SALAMANCA NCL - NY 98; Town of Great Valley; Cattaraugus Co,Future Development,,Spring 2019,Summer 2019,Spring 2019,500000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate US Route 219, from the Salamanca North City Line to NY Route 98, in the Town of Great Valley, Cattaraugus County with a 1"" single course mill and overlay for the existing pavement.",,,,,,,
5V1925,,05 WESTERN NEW YORK,VPP - I-86; EXIT 11 - EXIT 16,"VPP - I-86; EXIT 11 - EXIT 16; Towns of Ellicott, Poland, & Randolph, City of Jamestown, Village of Falconer; Chautauqua & Cattaraugus Cos",Future Development,,Spring 2019,Summer 2019,Spring 2019,3400000,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate I-86 from Exit 11 to Exit 16 in the Towns of Ellicott, Poland, and Randolph, City of Jamestown, and Village of Falconer in Cattaraugus and Chautauqua Counties with a 6.3mm overlay of the existing pavement surface.",,,,,,,
5V1945,,05 WESTERN NEW YORK,VPP - US 20; US 62 - CALIFORNIA & US 62; US 20 - BAYVIEW,VPP - US 20; US 62 - CALIFORNIA & US 62; US 20 - BAYVIEW; Towns of Hamburg & Orchard Park; Erie Co,Future Development,,Spring 2019,Summer 2019,Spring 2019,1000000,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will rehabilitate US Route 20 from US Route 62 to California Road and US Route 62 from US Route 20 to Bayview Road in the Towns of Hamburg and Orchard Park, Erie County with a 6.3 mm overlay of the exisiting pavement.",,,,,,,
581305,D263521,05 WESTERN NEW YORK,951A (LASALLE EXPWY) EB & 957A (ROBERT MOSES PKWY) EB,Mill & Overlay of RT 951A (Lasalle Expwy) Eastbound from RT 957A (Robert Moses Pkwy) to RT 952V  (Williams Rd) & RT 957A Eastbound from BIN 1068070 to 951A (BIN 1064999); City of Niagara Falls & Town of Wheatfield; Niagara County,Completed Project,Spring 2016,8/10/2017,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will mill the existing pavement surface and then overlay it with a layer of asphalt to prevent additional deterioration on the Lasalle Expressway from I-190 to Williams Road eastbound in the City of Niagara Falls and Town of Wheatfield in Nia,2017-08-29T00:00:00.000,1928000,-219693.98,1708306.02,2018-09-28T00:00:00.000,GREEN,GREEN
581339,D263645,05 WESTERN NEW YORK,BRIDGE CLEANING; CATTARAUGUS & CHAUTAUQUA COUNTIES,Bridge Cleaning; Cattaraugus & Chautauqua Counties,Completed Project,Spring 2017,1/4/2018,,,,Yes,Yes,No,This project involves bridge cleaning.,"This project will wash bridges in Cattaraugus & Chautauqua Counties. Bridges are cleaned to diminish the future need for maintenance by removing salt & debris to prevent corrosion, improve drainage & ensure the bridge bearings are free of contaminants.",2018-05-14T00:00:00.000,937675.88,-43279.83,894396.05,2018-10-19T00:00:00.000,GREEN,GREEN
